Title,Subtitle,Price,Num,Color
Jordan True Flight,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 134.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 134.99, 'minimumAdvertisedPrice': None}",,
Air Jordan XXXVIII Low 'Alumni Blue',Basketball Shoes,"{'currency': 'GBP', 'currentPrice': 113.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 174.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Elevate Low,Women's Shoes,"{'currency': 'GBP', 'currentPrice': 134.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 134.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Hi FlyEase,Older Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 87.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 87.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Low Alt,Baby/Toddler Shoes,"{'currency': 'GBP', 'currentPrice': 44.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 44.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Low Alt,Baby/Toddler Shoes,"{'currency': 'GBP', 'currentPrice': 44.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 44.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low G NRG,Golf Shoes,"{'currency': 'GBP', 'currentPrice': 144.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 144.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Low Alt,Younger Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 54.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 54.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Mid SE,Older Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 87.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 87.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low,Older Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 69.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 69.99, 'minimumAdvertisedPrice': None}",,
Jordan Stadium 90,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 84.49, 'discounted': True, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Jordan Essentials 3-piece Full-zip Boxed Set,Baby 3-piece Set,"{'currency': 'GBP', 'currentPrice': 34.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 54.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Mid,Shoes,"{'currency': 'GBP', 'currentPrice': 129.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Jordan Dri-FIT Sport,Men's Air Fleece Full-Zip Hoodie,"{'currency': 'GBP', 'currentPrice': 62.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 89.99, 'minimumAdvertisedPrice': None}",,
Jordan Spizike Low,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 154.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 154.99, 'minimumAdvertisedPrice': None}",,
Air Jordan I High G,Men's Golf Shoes,"{'currency': 'GBP', 'currentPrice': 184.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 184.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low SE,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 129.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Mid,Older Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 84.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 84.99, 'minimumAdvertisedPrice': None}",,
Jordan Spizike Low,Older Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 94.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 94.99, 'minimumAdvertisedPrice': None}",,
Jordan,Everyday Crew Socks (3 pairs),"{'currency': 'GBP', 'currentPrice': 14.49, 'discounted': True, 'employeePrice': None, 'fullPrice': 17.95, 'minimumAdvertisedPrice': None}",,
Air Jordan 4 Retro SE 'Wet Cement',Men's Shoes,"{'currency': 'GBP', 'currentPrice': 199.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 199.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Mid SE,Men's shoes,"{'currency': 'GBP', 'currentPrice': 139.95, 'discounted': False, 'employeePrice': None, 'fullPrice': 139.95, 'minimumAdvertisedPrice': None}",,
Jordan True Flight,Younger Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 54.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 54.99, 'minimumAdvertisedPrice': None}",,
Jordan Sport,Men's Dri-FIT Woven Diamond Shorts,"{'currency': 'GBP', 'currentPrice': 49.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 49.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Mid SE,Older Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 87.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 87.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Mid,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 90.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low Quai 54,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 129.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Jordan Spizike Low,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 154.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 154.99, 'minimumAdvertisedPrice': None}",,
